Claim,Evidence,label
We should disband Amnesty International,"The publicity on the massacre and its aftermath coincided with the publication of the 2010 Mid-Year Report on Protection of Civilians in Armed Conflict of the United Nations Assistance Mission in Afghanistan (UNAMA),[REF][REF][REF] in which worries were expressed about the rising number of civilian casualties in Afghanistan and that was directly followed by an advice of human rights organisation Amnesty International that the Taliban should be prosecuted for war crimes [REF].",0
We should further exploit unconventional oil,Total crude oil production in Canada was projected to increase by an average of 8.6 percent per year from 2008 to 2011 as a result of new non-conventional oil projects [REF].,1
their teachings are outdated in comparison with modern Western morals,"Homosexuality is illegal in most Muslim countries, and in many of these countries carries the death penalty. In July 2005, two Iranian men, aged sixteen and eighteen, were publicly hanged for homosexuality, causing an international outcry. Human rights organisations estimate that hundreds of people have been executed for homosexuality by Iranian authorities since the 1979 revolution [REF",1
We should abolish intellectual property rights,"""If some intellectual property is desirable because it encourages innovation, they reason, more is better.",1
We should abandon online dating services,"Mystery (2011) In Mystery, Delaware and Sturgis tackle the online dating world, when one of its sexy girls gets her face blown off in real time.",0
We should lower the age of consent,"Subsequently, the Sexual Offences (Amendment) Bill was introduced on 16 December 1998 and, again, the equalisation of the age of consent was endorsed on 25 January 1999 by the House of Commons",0
The use of AI should be abandoned,"Most mainstream AI researchers hope that strong AI can be developed by combining the programs that solve various sub-problems using an integrated agent architecture, cognitive architecture or subsumption architecture.",0
We should legalize polygamy,Opponents of the LDS Church found in polygamy a convenient cause célèbre.,0
Physical education should be mandatory,"With the development of new and improved technology with physical education, and especially adapted physical education, it is important for the APE teacher to know and understand different ways to implement technology for increased success for their students.",1
We should ban lotteries,"The Cohens appealed to the Supreme Court, arguing that their conduct was protected by the Act of Congress authorizing the D.C. lottery.",0
We should raise the retirement age,"On the outbreak of war, the French Army Commander-in-Chief General Maurice Gamelin was already past retirement age.",0
We should abolish no-knock warrants,"As justification for the no-knock warrant, the Atlanta Police Department initially claimed that the police were searching for drug dealers after a police informant was said to have bought crack at Johnston's home [REF].",0
We should end mining,"According to Canada's Oil Sands Innovation Alliance (COSIA), an alliance of oil sands producers formed in 2012, who share research on Environmental Priority Areas (EPAs) such as tailing pond water and greenhouse gases, ""Tailings are the sand, silt, clay and water found naturally in oil sands that remain following the mining and bitumen extraction process.""[REF]",0
We should cancel the Social Security tax,The determination that the Social Security tax was unconstitutional became the first instance in which the Court invalidated legislation as a discriminatory reduction of compensation [REF].,0
We should disband UNESCO,"Cogley said that a bibliographic search indicated that it had been copied inaccurately from a 1996 International Hydrological Programme (IHP) report by Kotlyakov, published by UNESCO, which gave a rough estimate of shrinkage of the world's total area of glaciers and ice caps by 2350 [REF].",0
We should limit the freedom of speech,"A summons was refused on 30 January 2007 due to lack of prima facie evidence that a crime had been committed, and the provisions of the 1968 Theatres Act, which enshrines the right of free expression in theatrical works [REF].",0
Organ donation should be mandatory,The purpose of creating the Trillium Gift of Life Network was to increase organ and tissue donation across Ontario and improve the process of registering [REF].,1
We should abolish temporary employment,A temporary employee is then found in the database and is contacted to see if they would be interested in taking the assignment ,0
We should adopt socialism,Marx predicted that socialism and communism would be built upon foundations laid by the most advanced capitalist development.,0
We should abolish temporary employment,"Temporary employees are also used in work that has a cyclical nature, requiring frequent adjustments to staffing levels.",0
We should ban alcoholic beverages,"From a research perspective, scientists began differentiating alcohol consumption among the various classes of beverages - wine, beer, and spirits. This distinction allowed studies to highlight the positive medical benefits of wine apart from the mere presence of alcohol",1
We should legalize polygamy,"""In the case of polygamy, there is a universal standard - it is understood to be a sin, therefore polygamists are not admitted to positions of leadership including Holy Orders, nor after acceptance of the Gospel can a convert take another wife, nor, in some areas, are they admitted to Holy Communion.""",1
We should abandon social media,"While social media is not as essential for survival as traditional public utilities such as electricity, water, and natural gas, many people believe it has become vital for living in an interconnected world and without it, living a successful life would be difficult [REF].",1
We should subsidize public service broadcasters,"On July 26, 2011, NJTV announced a partnership with the Foundation for New Jersey Public Broadcasting (formerly the NJN Foundation) to jointly fund and create additional public affairs programming.",0
We should fight global warming,"Methane, a potent greenhouse gas, introduces a significant positive feedback as global warming leads to the retreat of vast permafrost regions in the northern hemisphere.",0
We should ban abortions,"Roe established a ""trimester"" (i. e., 12 week) threshold of state interest in the life of the fetus corresponding to its increasing ""viability"" (likelihood of survival outside the uterus) over the course of a pregnancy, such that states were prohibited from banning abortion early in pregnancy but allowed to impose increasing restrictions or outright bans later in pregnancy.",1
We should ban genetically modified crops,Advocates claimed that the technology restricted the introduction of genetically modified plants into nature by causing second generation seeds to be sterile.,0
We should protect endangered species,"On December 16, 2008, the Center for Biological Diversity announced intent to sue the Interior Department under Kempthorne for introducing ""regulations.. that would eviscerate our nation's most successful wildlife law by exempting thousands of federal activities, including those that generate greenhouse gases, from review under the Endangered Species Act.""",1
We should close the Guantanamo Bay detention camp,"Clive Stafford Smith, a British human rights lawyer, expressed hopes that Obama would close Guantanamo Bay detention camp within the time period [REF].",0
The vow of celibacy should be abandoned,"The phrase ""contract marriage"" in the first part of canon 21 excludes clerical marriages, and the marriages that the second part says must be dissolved may possibly be such marriages, contracted after ordination, not before.",0
Boarding schools should be abolished,"In 1758, Howard married Henrietta Leeds who died in 1765, a week after giving birth to a son, also named John, who was sent to boarding school at a very young age.",0
We should ban school uniforms,"As of 2006, over twenty high schools require their students to wear school uniforms or ""standardized dress.""",0
We should abandon social media,A 2014 survey of recruiters found that 93% of them check candidates' social media postings [REF].,0
We should legalize public nudity,"In 2012, the city council of San Francisco proposed a ban on public nudity in the inner city area.",1
We should prohibit tower blocks,The Metromover is free and stations can be found at roughly every two blocks in Downtown and Brickell.,0
We should ban abortions,"Czech Republic: A May 2007 CVVM poll found that 72% believe abortion in the Czech Republic should be allowed ""at the request of the woman"", 19% that it should be allowed for ""societal reasons"", 5% that it should be allowed only if ""a woman's health is at risk"", 1% that it should be ""banned"" [REF",1
We should ban alcoholic beverages,A German study conducted in the late 1990s showed that non-drinkers had slightly higher infection rates of Helicobacter pylori than moderate wine and beer drinkers [REF,1
We should ban racial profiling,The King County Council said it was to discourage racial profiling and decrease the fear of seeking health care [REF].,1
We should ban extreme sports,"In 1988, Eduard Tatulian, the Soviet director of rugby coaching, said in an outspoken interview that the USSR required ten times as many coaches and referees as it had [REF].",0
We should legalize doping in sport,"In October 2015, the NRL announced that the Australian Anti-Doping Tribunal had handed Earl a 4-year ban for the following anti-doping rule violations; use of CJC-1295 (eight violations), possession of CJC-1295, trafficking in somatropin, trafficking in clenbuterol, attempted trafficking in SARMS and attempted trafficking in testosterone.",0
We should subsidize public service broadcasters,"Bensberg said that it would appear ""inappropriate to encrypt public service broadcast content on DTT"".",0
Private universities should be banned,Higher education is provided by a number of public and private universities.,0
We should ban fast food,"The fast food industry is a popular target for critics, from anti-globalization activists like José Bové to vegetarian activist groups such as PETA ",0
We should abolish zoos,"Many zoos work to improve their animal enclosures and make it fit the animals' needs, although constraints such as size and expense make it difficult to create ideal captive environments for many species [REF].",0
We should abolish marriage,"To live together as spouses in community of life, to afford each other marital privileges and to be ever faithful, are the inherent commands which lie at the very heart of marriage [REF].",0
We should adopt open source software,"In this way, open source software provides solutions to unique or specific problems.",1
We should abolish the US Electoral College,"The Democratic Party's electoral success has been attributed by some to running conservative-leaning Democrats against at-risk Republican incumbents,[REF] while others claim that running more populists and progressive candidates has been the source of success [REF].",0
We should introduce recall elections,Callicott referred to the successful recall election of Mayor Frank L. Shaw in 1938 of which he said he was one of the leaders [REF].,0
religious belief is a delusion,"According to Professor Vilayanur S. Ramachandran, ""It's possible that many great religious leaders had temporal lobe seizures and this predisposes them to having visions, having mystical experiences.""[REF",1
We should subsidize journalism,"The term open-source journalism is often used to describe a spectrum on online publications: from various forms of semi-participatory online community journalism (as exemplified by projects such as the copyright newspaper NorthWest Voice),[REF] through to genuine open-source news publications (such as the Spanish 20 minutos, and Wikinews).",0
We should prohibit hydraulic fracturing,"The Shale Gas Drilling Safety Review Act of 2014 issued in Maryland[REF] forbids the issuance of drilling permits until a high standard ""risk assessment of public health and environmental hazards relating to hydraulic fracturing activities"" is conducted for at least 18 months based on the Governor's executive order.",1
We should disband Amnesty International,"Amnesty International (UK): ""Amnesty International calls on the Turkish authorities to condemn all forms of intolerance, to uphold the rights of all citizens of the Turkish Republic and to investigate the murder of Hrant Dink thoroughly and impartially, to make the findings of the investigation public - and to bring suspected perpetrators to justice in accordance with international fair trial standards.""[REF]",0
We should subsidize journalism,"Besides his professional journalistic memberships Faulkner was also a member of the Cuvier Press Club, the Benevolent and Protective Order of Elks, Lodge No. 5.",0
We should abandon democracy,"The Council went on to call for the release of all political prisoners in the country, including Nelson Mandela, and that the establishment of a free, democratic society can lead to a solution.",1
Organ donation should be mandatory,The United States Department of Health funded a study by the University of Wisconsin Hospital to increase efforts to increase awareness and the amount of registered donors by pursuing members of the university and their family and friends through social media [REF]. The results of the study showed a 20% increase in organ donation by creating support and awareness through social media [REF].,0
The use of AI should be abandoned,"Some computer scientists believe that the specialty of AI can still make new contributions to the resolution of the ""mind-body problem"".",0
We should ban strip clubs,The Gold Club trial received significant attention because numerous significant professional athletes were called to testify [REF].,0
Casinos should be banned,The rest of the year the park is open for casino gaming and simulcast racing.,0
Community service should be mandatory,The latter were intended to counteract the increasing hegemony of Labour Zionism over community services via the Histadrut and address the refusal of the Histadrut to make its services available to Revisionist Party members.,0
We should ban whaling,"Richard Douglass' children Alexander b. 1778, Robert, Lucy, and Richard Jr. Alexander eventually became a whaling captain working in the firm of Benjamin Brown of New London as well as for the Williams firm.",0
Single-sex schools should be banned,"The Episcopal Church founded Brownell Hall, an all-girls secondary boarding school in Saratoga.",0
We should ban extreme sports,"In the early 2000s, ESPN approached them to create the theme for their Extreme Sports show, which airs internationally.",0
We should ban extreme sports,"As technology has advanced, such studies have adapted to include the effects of violent games and non-violent games in new media methods such as immersive virtual reality simulations [REF].",0
We should fight global warming,Many risks are expected to increase with higher magnitudes of global warming [REF].,1
We should further exploit hydroelectric dams,"Apart from biomass, which accounts for about 3.5% of total generation capacity, no other renewable energy source besides hydroelectricity plays a relevant role in the energy mix.",0
We should ban boxing,"The ""rope-a-dope"" strategy : Used by Muhammad Ali in his 1974 ""the Rumble in the Jungle"" bout against George Foreman, the rope-a-dope method involves lying back against the ropes, covering up defensively as much as possible and allowing the opponent to attempt numerous punches.",0
We should further exploit nuclear power,"Proponents, such as the World Nuclear Association and Environmentalists for Nuclear Energy, contend that nuclear power is a safe, sustainable energy source that reduces carbon emissions [REF].",1
We should cancel the Social Security tax,"Though claiming that these changes were necessary to ""save and secure this vital, popular program"", Ribble's letter also proposed cutting the FICA withholding rate and reducing the cap on wages that are used to fund the Social Security Trust Fund which would reduce revenues for the Fund [REF].",0
We should subsidize journalism,"Reporting was highly reactive and focused on the visible effects of the conflict, such as announcements and public disagreements between official spokespeople that appeared to disrupt peace efforts [REF].",0
We should disband the United Nations,"While most agree that the UN could be improved, Noam Chomsky, a leading critic of U.S. foreign policy, proposes that measures such as the US relinquishing its veto power in the Security Council and submitting to the rulings of the International Court of Justice could significantly improve the UN's ability to foster the growth of democracy and promote global peace and the protection of human rights [REF].",0
Surrogacy should be banned,Commercial surrogacy and related advertising remains illegal in all states and territories except for the Northern Territory where there are no laws or regulations regarding surrogacy arrangements.,1
We should introduce goal line technology,Law 10 (The Method of Scoring): permitting use of goal-line technology to verify whether or not goals have been scored.,1
We should further exploit sustainable energies,"In chapter 15 of 'Power Hungry: The Myths of ""Green"" Energy and the Real Fuels of the Future, Bryce writes: '""There's no question that carbon dioxide plays a significant role in the atmosphere.",0
We should ban private education,"In their favour, it has been pointed out that private schools cover the entire curriculum and offer extra-curricular activities such as science fairs, general knowledge, sports, music and drama [REF].",1
We should ban abortions,"The Guttmacher Institute said eighty laws restricting abortion were passed in the first six months of 2011, ""more than double the previous record of 34 abortion restrictions enacted in 2005-and more than triple the 23 enacted in 2010"" [REF].",0
We should increase international volunteering,"The Students' Union also runs an international volunteering project, InterVol, which sends student volunteers to work in rural African communities [REF].  ",0
We should subsidize recycling,"Local trade associations and recyclers were also consulted and they support the development of EcoPark, agreeing that by providing long-term land at affordable cost, together with supporting infrastructure, EcoPark will help enhance recycling technology development and improve waste recovery rates in Hong Kong.",1
We should limit the right of self-defense,"Even before the latest eruption of violence in December, UNICEF indicated, ""about 2,500 children - both girls and boys - were associated with multiple armed groups, including self-defence groups, in CAR."" UNICEF further observed that ""more than 300,000 children have already been affected by the violence in CAR and its consequences, including through recruitment, family separation, sexual violence, forced displacement and having limited access to education and health facilities.""[REF] .",0
We should subsidize condoms,A survey in Boston just prior to World War I concluded that three million condoms were sold in that city every year [REF].,0
We should increase fuel tax,"In the United Kingdom, where fuel taxes were raised in October and were scheduled to rise again in April 2008, there was talk of protests and roadblocks if the tax issue was not addressed [REF].",1
We should legalize prostitution,"Officially, prostitution is illegal in mainland China [REF].",1
We should legalize polygamy,"Peck said that it's time to find out once and for all if Canada's laws against polygamy will stand. He stated that, ""If the law is upheld, members of the Bountiful community will have fair notice that their practice of polygamy must cease.""",0
We should fight global warming,"Perry's views have been criticized, with fact-checkers stating that surveys showed that more that 97% of climate scientists believed that global warming is anthropogenic and arguing that the ranks of dissenters don't appear to be swelling [REF].",0
We should ban beauty contests,"The association has organized annual beauty contests featuring traditional arts and culture, fostered training in health and hygiene, distributed yarn and vegetable seeds, and introduced smokeless stoves in villages [REF].",0
We should introduce compulsory voting,"Practically this meant that the party was opposed to government control of society, like compulsory voting, compulsory vaccination, and social security.",1
We should protect Antarctica,"The treaty entered into force in 1961 and sets aside Antarctica as a scientific preserve, established freedom of scientific investigation and banned military activity on that continent.",1
We should subsidize higher education,"A 2006 report by Future of Children, a collaboration of Princeton and the Brookings Institution, concluded that ""the current process of admission to, enrollment in, and graduation from colleges and universities contributes to economic inequality as measured by income and wealth.""[REF",1
Holocaust denial should be a criminal offence,"According to Ha'aretz, Mahameed intended ""to tell the conference that the Holocaust did happen and that Iranian President Mahmoud Ahmadinejad's position of Holocaust denial is wrong"".",0
We should fight global warming,"Jacobson, M. Z., Air Pollution and Global Warming: History, Science, and Solutions, Cambridge University Press, New York, 2011.",0
We should abolish term limits,"In 2010, a term limits review commission appointed by former Mayor Bill White called for amending the city charter on extending term limits where elected officials could serve two four-year terms; the proposal failed 8.18.10 after the Houston City Council voted 7-7.",0
We should subsidize higher education,"Financed by the Carnegie Corporation, Cleveland Foundation, Greater Cleveland Associated Foundation, and several local donors, a study commission of national leaders in higher education and public policy was charged with exploring the idea of federation.",0
We should legalize doping in sport,"The federal government, through grand juries, had been investigating steroid abuse since 2003.",0
We should fight nationalism,"Some modern commentators have argued against exaggerating Chopin's primacy as a ""nationalist"" or ""patriotic"" composer.",0
We should ban alternative medicine,"Since 2001, Kelsey has overseen publication of a series of similar consumer guides to individual hospital consultants,[REF] maternity services,[REF] and complementary therapists[REF] among others [REF].",0
Single-sex schools should be banned,Bnos Belz or Beis Malka for Belz girls' schools.,0
We should increase immigration to the United States,"As such, different immigrant groups vary in whether or not they actively seek out health services.",0
We should increase immigration to the United States,"In this respect, negative stereotypical rumors started to spread about the new immigrants.",0
We should end daylight saving times,"In 1971, New South Wales, Victoria,[REF] Queensland, South Australia, and the Australian Capital Territory followed Tasmania in observing daylight saving, Western Australia and the Northern Territory did not.",0
We should adopt direct democracy,"Regarding recent American politics (specifically initiatives), Donovan et al. argue that: One of the original concerns about direct democracy is the potential it has to allow a majority of voters to trample the rights of minorities.",1
We should abandon coal mining,"Coal Mining became an important industry for the post-Antebellum, now Gilded Age city [REF].",0
We should fight for Palestinian independence,President Mahmoud Abbas of the Palestinian National Authority said that he would oppose the creation of a Palestinian state with temporary borders and further Israel's unilateral withdrawals.,1
We should close the Guantanamo Bay detention camp,"In the landmark, Rasul v. Bush (2004), the court held that Guantanamo detainees have the right to challenge whether their detention is constitutional in the US courts.",0
We should legalize public nudity,The court held that an ordinance banning public nudity did not violate the operator of a totally nude entertainment establishment's constitutional right to free speech [REF].,1
We should subsidize biofuels,"Biofuels, such as ethanol and biodiesel, are currently produced from the products of conventional food crops such as the starch, sugar and oil feedstocks from crops that include wheat, maize, sugar cane, palm oil and oilseed rape.",0
We should ban beauty contests,"Alone, Delmount further criticizes beauty pageants.",1
We should close the Guantanamo Bay detention camp,"In this most recent action of civil resistance, inside the United States Supreme Court, on January 11, 2008 he called for the closing of the Guantanamo Bay prison camp by kneeling and praying [REF].",0
We should further exploit hydroelectric dams,"""Canadians have exhausted their energies,"" Innis wrote in 1929, ""in opening up the West, in developing mines, hydro-electric power ",0
We should ban alcoholic beverages,Alcoholic beverages are classified by the International Agency for Research on Cancer (IARC) as a Group 1 carcinogen (carcinogenic to humans).,1
We should abolish term limits,"In 2009 Referendum, the Constitution of Azerbaijan was amended, abolishing any term limit for the office of President [REF].",1
We should abandon disposable diapers,"The campaigners protested by lining the streets wearing diapers themselves, which spelled out the message ""Stop pooh bags"" [REF].",0
We should protect whistleblowers,"The act plans to reduce the opportunity to exert influence with money by banning corporate, union, and large personal political donations; create a five-year lobbying ban on former ministers, their aides, and senior public servants; provide protection for whistleblowers; and enhancing the power for the Auditor General to follow the money spent by the government.",0
We should prohibit tower blocks,The Jim Larkin Court and Gaeltex Drive apartment blocks have a serious lack of facilities.,0
We should protect endangered species,"The California Endangered Species Act (CESA) declares that, ""all native species of fishes, amphibians, reptiles, birds, mammals, invertebrates, and plants, and their habitats, threatened with extinction and those experiencing a significant decline which, if not halted, would lead to a threatened or endangered designation, will be protected or preserved.""[REF] .",1
We should abolish intelligence tests,"In 2006, Danish psychologist and intelligence researcher Helmuth Nyborg was temporarily suspended from his position at Aarhus University, after being accused of scientific misconduct in relation to the documentation of a peer-reviewed paper appearing in the journal Personality and Individual Differences, in which he showed a 3.15-point IQ advantage of men over women [REF].",0
We should protect whistleblowers,"In 2001, Meyer cautioned whistleblowers that despite the fact that the Whistleblower Protection Act of 1989 "". .",0
Hunting should be banned,Both Corbett and Kenneth Anderson have written that hunting the man eating panther presented more challenges than any other animal.,0
The free market should be protected,"If there is a negative externality associated with a good, meaning that it has negative effects not felt by the consumer, then a free market will trade too much of that good.",0
We should abolish the US Electoral College,"Colorado presidential elector Camilla Auger, responding to lobbying of members of the Electoral College, commented: ""I was concerned that there are that many nutty people in the country making depressing, absurd allegations.""[REF] .",0
We should increase fuel tax,"In many countries fuel is already taxed to influence transport behavior and to raise other public revenues. Historically, they have used these fuel taxes as a source of general revenue, as their experience has been that the price elasticity of fuel is low, thus increasing fuel taxation has only slightly impacted on their economies.",1
We should limit genetic testing,There are DNA tests available to help breeders screen breeding animals for NCL (neuronal ceroid lipofuscinosis)[REF] and Ichthyosis.,0
Private universities should be banned,"V Raghunathan, former professor, IIM-Ahmedabad said ""For engineering colleges in most states, the permitted fee for unaided private colleges is in the vicinity of Rs 30,000 per student per annum.",0
We should ban cosmetic surgery,"A survey of physicians in the United States came to the result that dermatologists are most satisfied with their choice of specialty followed by radiologists, oncologists, plastic surgeons, and gastroenterologists [REF].",0
We should disband NATO,"Operation Deny Flight, and other NATO operations during the Bosnian War, resulted in significant tension within NATO and the Atlantic relationship.",0
We should abolish the US Electoral College,"Feeney and then State Senate president John McKay argued the state Supreme Court's verdict in favor of the Democrats' position on recounts essentially ""tainted"" the entire process, so that there was (as Feeney stated) ""a great risk"" Florida's electoral votes would be disregarded altogether in the selection of the next President [REF].",0
We should further exploit sustainable energies,Individuals are usually assured that the electricity they are using is actually produced from a green energy source that they control.,0
Community service should be mandatory,"Established in 1987, the NAB Crystal Radio Awards recognize broadcasters for outstanding commitment to community service [REF].",0
We should fight nationalism,French right-wing monarchist and nationalist Charles Maurras held interest in merging his nationalist ideals with Sorelian syndicalism as a means to confront liberal democracy [REF].,0
We should disband NATO,"The questionable identity of these helicopters became particularly problematic after the Black Hawk Incident in Iraq, because NATO pilots became more reluctant to engage potential belligerents without clear identification.",0
We should subsidize public service broadcasters,"In 1894 Oliver Lodge, a professor at the University, made the world's first public radio transmission and two years later took the first surgical X-ray in the United Kingdom [REF].",0
