premise,hypothesis,label
uh the one we thought would be the most timid uh turned out to be the one that stuck with it and was the first to learn,The one we thought was timid ended up being the last one to learn.,0
"On stage, the innards of a piano are shown next to a man at a desk who is working on electronics, while a long-haired man is looking at a screen which shows ""53:11"".",The men are shopping at the market.,0
yeah it is it is and i guess you don't have to but you know if you look at oh have you ever seen any of the Jacques Teti Teti movies the French movies uh Teti it it,Jacques Teti movies are my favorite.,1
oh okay they're they're fairly big yeah uh-huh,They are a big group of people.,1
"Here are some of the few Japanese who enjoy uncrowded cities, unspoiled wilderness, and a simpler existence in a climate and landscape comparable to snowcapped mountains and pine forest, with a subarctic climate in the northernmost area.",Just 10% of the Japanese people like rural areas.,1
Any good poems she did write were derivative of Hughes' style.,Hughes was her idol ,1
But remember when visiting places of worship to dress in an appropriately dignified manner and to slip off your shoes before entering a mosque or a Hindu temple.,Women are not expected to remove shoes when entering a mosque.,1
Cheryl D. Mills (born 1965) is an American lawyer and corporate executive.,Cheryl D. Mills (born 1965) is an American lawyer and separate executive.,0
yeah right that's right and and it turns out he didn't do it,It turns out he didn't kill the man.,1
A little boy in a blue shirt holding a toy.,Boy dressed in red lighting things on fire.,0
What if that prosperity is a temporary illusion?,Prosperity is definitely not an illusion.,0
The academy's lifetime members ' chosen in hotly contested elections ' regularly produce edicts on French terminology and usage; among words recently declared legal were le ketchup and le hamburger.,They refused to declare any more words ,0
Gerth means to suggest that Clinton was attempting to hide an out-and-out favor to a political crony.,Everyone thought that Clinton had political cronies.,1
But somehow it did not seem morally mandatory.,The morality was questionable.,1
The winged Victory of Samothrace and beautifully proportioned Venus de Milo.,"Because techniques and technology were underdeveloped at the time, the Venus de Milo has awkward proportions to it.",0
Get back to London as soon as possible.,Don't come back to London.,0
Among the best are the 12th-century Pentecost dome in the nave and the central dome's 13th-century Ascension.,Among the best are the 10th century Pepe dome in the salve.,0
"It is also sometimes called simply Beaubourg, after the 13th-century neighborhood that surrounds it.",It is usually referred to as Little Paris because of the many French immigrants.,0
"That you, Hersheimmer? ",It may not be Hersheimmer.,1
"One rather formidable group of mailers whose members will benefit mightily from the Commission's recommendations, the periodicals mailers, pointed out in a press statement that the overall average increase for First-Class mail was much smaller than the average increase for mail their members send.",Periodicals mailers always have something to say in the press statement.,1
what's your second favorite,What is your most disliked?,0
"If McCain emerges as the nominee, Democrats will exploit his domestic weaknesses.",They were certain the man would get the nomination.,1
But an unfortunate side effect is the lost opportunity to provide some socially desirable planned obsolescence.,The lost opportunity is unfortunate.,1
does your work entitle uh anything in environmental along these lines,Do you know about global warming?,0
"Martin Schongauer's beautiful altar painting Vierge au Buisson de Roses (Madonna in the Rose Bower) can be found in the Eglise des Dominicains, along with some remarkable 14th- and 15th-century stained-glass windows.",Madonna in the Rose Bower is worth an estimated two hundred million dollars.,1
I passed a bar.,I passed a bar that served wine.,1
So well had the abduction been planned that the girl seemed literally to have vanished into thin air.,The girl was in danger because she was missing.  ,1
they're married in real life,Actually they are both gay and married to other people.,0
Some areas of assessment will require the expertise of auditors with specific technical skills and experience.,Auditors won't need to have any particular technical expertise for portions of the assessments.,0
"The Museum, situated in the renovated stable block of the house, has many dioramas of Lakeland life and industry from the last 200 years.",The dioramas in the museum show lakeland life from 400 years ago.,0
"At Corosel, Anse des Cayes, and Anse de Lorient, you'll share the shore with fishermen who set out to sea in gaily painted boats.",The fisherman paint their boats colorfully to amuse the tourists.,1
yeah yeah that  cause i permanently damaged the the uh cushion under my heel you know the normal cushion that you have there so,The cushion under my heel is intact.,0
"Koko-en actually comprises nine distinct gardens, each with a special theme such as bamboo, pine trees, seedlings, summer trees, and flowers.",Koko-en gardens have fun theme to go by so you know where you're going.,1
The Administration has argued that CBO's estimates are inflated.,The administration says the CBO is low-balling it. ,0
The museum is probably best for younger children.,It is not a good idea to bring young children to the museum.,0
i uh it just astounded me i mean he must have been so sure of winning that it didn't make any difference,He wasn't sure at all and I wasn't surprised.,0
"Visitors are able to relax here as the emperor did, by lingering on the terraces to take in the changing scene that surround them.",Visitors are not permitted out on the terraces.,0
"Throughout the story, Ellison uses the symbol of horns, investing them with a number of meanings relating to sexual desire (the horny young boys), artistic creation (the instrument of jazz), and masculinity (the symbol of a bull).",Ellison chose to use flowers as symbolism for sexuality throughout the story.,0
"During development, the supplier had difficulty in designing and manufacturing this subsystem.",This subsystem was the easiest and most pleasing to manufacture.,0
you know and so the only way to get out from under that is to is to do some kind of budgeting,We don't have any financial issues.,0
because i mean crawfish everybody over here likes crawfish but you know i i wouldn't have to worry about satisfying my,Everyone that's over here loves crawfish and it is easy to make.,1
An overweight man in a blue and black hooded sweatshirt works on a laptop computer outdoors.,A heavyset man in a hoodie works in a laptop while outside.,1
"The International Centre for Humanitarian Reporting notes that the media often only report on the crisis of the moment, and aims to encourage better reporting of humanitarian, development and related issues.",They wanted to encourage the media to tell the whole story.,1
"Well, would you believe it, my conscience got busy! ",I have no conscience.,0
and when they do that they begin paying interest right from that very day on,They don't have to pay interest on it.,0
well that sounds like that might be a fun fun place to visit then,That doesn't sound like it would be very fun.,0
"A young girl with blue and pink ribbons in her braids, without a top and a woman with a white t-shirt and a zebra skirt wading in a public water fountain.",A young girl knits a sweater,0
and uh i have a few health food stores that i send it to i can buy the cookies in a larger quantity than they can so i can get a deal from the uh from the main from the supplier,I send it to the health food stores once a month to get an order of the cookies.,1
"Those auditioning can sing, act, dance, perform any other talent.","Those auditioning can sing, act, dance, or any other perform any other talent.",1
"These people saw me not as a terrorist, but as a freedom fighter.",They were seen as a terrorist and not a social justice warrior.,0
yeah we'll see,Time will tell when we discover who gets the number one pick.,1
A group of people on the street dancing to a four men playing various conga drums.,People are dancing in the street.,1
We have bled and killed for your town.,The town was burned to the ground.,1
Often teams have to play early morning or late at night due to the fact that the rinks are mostly used for public skating.,Often teams have to play late morning or late at night due to the fact that the rinks are mostly used for public skating.,1
"There's a huge difference, for example, between smoking marijuana and smoking heroin and between communicating to an 8-year-old or a 14-year-old.",You will usually find it easier to communicate with a 14-year-old than an 8-year-old.,1
well i'm an ESL teacher yes i got my certification but actually they did not teach us very many things,We had to learn a lot to get our certification as ESL teachers.,0
Sociologist Pierre van den Berghe argues that such a continuum is preferable to a simple black-white dichotomy.,Pierre van den Berghe said a continuum has benefits over a black-white dichotomy when it comes to understanding segregation.,1
"If it's a family, it's more like the Corleones than the Cleavers.",The family is more like the Corleones of southern Texas. ,1
"Madrid's most important remaining possessions were the island colonies of Cuba and Puerto Rico, both of which were chafing under the yoke of colonial rule and the bitter system of slavery.",Both Cuba and Puerto Rico had long since banished slavery at Madrid's behest.,0
'Merchandising.',Marketing,1
i sort of am too uh i enjoy going out to a couple of the games and and uh i really don't get that involved until the play-offs though uh,I am exclusively interested in the play-offs - nothing else. ,1
and then you know it took a few years to crap out but i mean it was dying last year i lived up in Boston,I have never lived in Boston.,0
A man cooks a large amount of shellfish in a wok outdoors.,The  shellfish  was cooked  in  awok.,1
"Similarly, articles about Gen Y--many written by boomer parents--are fulsome about how well boomers are raising their tots, how intimately parents and kids communicate, and how much kids admire mom and dad.","These are all opinions, and are disputed among other",1
"This display summarizes information from a variety of sources, including a prototype consolidated financial statement for the US and annual reports that contained information covering the categories of Federal mission PP&amp;E (columns 1 and 5); and hypothetical amounts for revaluation adjustments (column 2); and deletions and additions (columns 3 and 4).",The display shows the information from lots of sources in the banking system.,1
But perhaps because within all of us there continues to live younger more idealistic lawyers-a whisper of the lawyers we were at the beginning of our professional lives-we are here today because we are not ready to let go of the promise of legal services.,Lawyers are more idealistic after years than they were in the beginning.,0
Just before the building was struck by lightning.,Left before the road.,0
yeah well that well that was that's with uh who's what's his name's in it uh,I'm forgetting who that guy is because it was so long ago.,1
"Most employers don't exploit their workers, but there are some employers who really do take advantage of their workers, and immigrants are more vulnerable to this abuse.",Some employers only take advantage of immigrants,1
One man in a helm shaped like a snarling dog fought another taller dark man with a chain.,A tall dark man fled for safety.,0
"Very young boy standing in front of a bride and groom, wearing a suit and holding a ring-bearer's pillow.",A funny standing,0
And you are wrong in condemning it. ,I totally agree with your criticism.,0
"The chapel frescoes were completed in the 1480s by Filippino Lippi, who painted the side walls' lower panels.",The chapel frescoes were not completed until the 1500s.,0
I put it to you that you did do so?,I understand that you did not do so.,0
i know that would be a a definite B V R M I R,That situation would be a BVRMIR,1
"But if his campaign really prospers and he has to explain what he believes, he'll have a hard time holding that coalition together.",If Trump's campaign goes well he will have a hard time holding it all together.,1
yeah well you're a student right,Yeah but you're not a student yet.,0
"He was the master of the left-hand, right?""Yes,"" said Adrin.",He was the master of the right hand.,0
"She'd come there the day before, for schooling, and she had been balky.",She never showed up for schooling.,0
"The real war in Kosovo is featured inside, as it is in Newsweek . Time berates NATO for its self-congratulatory and ill-timed birthday celebrations.",NATO just wanted to honor their own accomplishments and set their sights to the future.,1
i have a i have a bad back,I have a bad back from an accident.,1
"Recent SAB deliberations on mortality and morbidity valuation approaches suggest that some adjustments to unit values are appropriate to reflect economic theory (EPA-SAB-EEAC-00-013, 2000).",Economic theory is the only theory concerning mortality valuation.,1
This amazing shrine celebrates an object that transcends borders and cultural  the human penis.,Some feminists have objected to this shrine and what it stands for.,1
This state conducts its planning activities through ad hoc groups addressing discreet issues.,This state conducts its planning activities through ad hoc groups addressing discreet issues for its population.,1
actually i think abortion's going to take a turn where there's not going to be as many because i think contraceptives are going to be more popular i mean i realize that they are popular now but i think,The rise in the use of contraceptives will push the abortion rate even higher.,0
A man like myself is bound to attract notice.,A person of my stature will always attract stalkers.,1
This variability may reflect regionally specific C-R functions resulting from regional differences in factors such as the physical and chemical composition of PM.,Variability will not reflect on C-R functions as there are no regional differences.,0
Everything is a celebration.,Absolutely nothing is a celebration.,0
"In this sealed and closed chamber, with its close-fitting heavy door, he felt cut off from the world, and the sinister power of the arch-criminal seemed more real.",He felt like he was a part of the world.,0
Jon's feeling of age and weariness must have shown.,Jon was feeling young and spry.,0
no and uh unfortunately it shows i uh i'm supposed to i'm way overweight but uh i've had a problem with uh high blood pressure which of course is directly connected to it and my doctor's trying to get my blood pressure under control,I have no problems with my blood pressure.,0
26 g for fathead minnows.,Fathead minnows are available for less at bulk cost.,1
barely surviving here and and we get calls now from like World Wildlife Federation like demanding a hundred dollars,We just moved and can't afford the money the World Wildlife Federation wants.,1
Here is what some prominent national reporters wrote on   ,They may have written about the current state of national politics.,1
"Because Julius Hersheimmer is Mr. Brown, said Sir James dryly.",Julius Hersheimmer pretended to be someone called Brown. ,1
uh-huh oh yeah all the people for right uh life or something,"oh yeah not those people, they have a bad life",0
"Characteristics related to useful life are that  has an indeterminate or an unpredictable useful life because of the unusual manner in which it is used, improved, retired, modified, or maintained or is at a very high risk of being destroyed during use or of premature obsolescence.","The length of the useful life of a power-tool or computer depends on how well the owner properly maintains it, follows directions in its use and does not alter the product and so forth because any such changes can lead to a shorter useful life. ",1
maybe we'll talk to you again alright bye-bye,Perhaps we will talk to you again if you call this office about your shipment.,1
"Well, we're city folk now, and our foes wear deodorant.",No city folk wear deodorant. ,0
"In the depths of the Cold War, many Americans suspected Communists had infiltrated Washington and were about to subvert our democracy.",Communists infiltrated Washington during the Cold War.,1
The prescient Sam Donaldson wisely took the weekend off.,Sam Donaldson took the weekend off and spent it at his cottage by the lake.,1
and it just depends on how bad that person is,"It depends on the condition of the person, what kind of nursing home they go to.",1
They threaded their way to the cantina where the officer dismounted and went inside.,The officer sat down for some food in the cantina.,1
dress shorts yeah yeah,"Blouses, jackets, of course...",0
"The car was waiting, and I drove back.",The car left and I stayed.,0
This work includes compendiums such as periodic reports on highrisk areas and other governmentwide major management challenges.,"In addition, this work also includes extensive discussion of the financial implications of the government's management challenges.",1
A classroom full of students is looking in the same direction inside a bamboo structure.,A school classroom full of elephants are looking for their home.,0
(1941) is a Universal movie serial based on The Green Hornet radio series by George W. Trendle and Fran Striker.,(1941) is a Universal movie serial based on The Green Hornet radio series by Kim Roberts and Fran Striker.,0
yeah plays for the Raiders,He plays for the Raiders as the QB,1
"Across the river from town is the Jennings Brewery, one of the few remaining independent brewers in the area.","The town has breweries of their own, but they are not independent.",1
um-hum something that is working and i i i really like the system of house arrest where uh a someone's wear someone wears a bracelet,I hate house arrest when a bracelet is involved.  ,0
It has always been work--endless work.,The work is endless and tiresome.,1
"Yes, conceded Pickering, but only because nationalism is endemic in both of those countries.",Pickering disliked nationalism.,1
The man screamed and dropped his scimitar to grab at the gushing wound.,The man had been stabbed in his stomach. ,1
"Capacity in the U.S. is equal to 465 million pounds/yr, or 233,000 tons.","The US's capacity is roughly equivalent to 20,000 tons.",0
"Just below this lies the Tomb of the Prophets, believed to be the burial place of Haggai, Malachi, and Zechariah.","This is believed to be where Haggai, Malachi, and Zechariah were born.",0
"To say it's banged on them, of course, is not to say the fears are not real.","To say it's banged on them does not correspond to say the fears are not real, said the teacher.",1
A young blond woman with braided pigtails and wearing blue biking gear is bicycle racing along a dirt track.,A young blond girl is riding a bike.,1
"If discounts are too large, the stockholders pay, along with managers who may lose their jobs.",Managers pay from their own funds when discounts are too steep.,0
"It is expected that one SCR system requires about 21 months of total effort for planning, engineering, installation, and startup.",The system takes plenty of time due to the complex nature of it.,1
2 seconds for residential city.,There are actually six seconds for residential city,0
"The big gray knew very well what was in progress, was tensing now for a swift getaway leap.",The big gray stood still and did nothing. ,0
5 The six principles that emerged from our discussions with private-sector and state government CIOs also describe the general areas that federal CIOs agreed needed to be addressed.,There are six principles that must be addressed by CIOs in the private sector.,1
well June is medium sized but she is scared to death of thunder storms,She cowers under the bed whenever there's a thunderstorm.,1
"It worries me that before I thought too hard about it, I was having a pretty good time.",There was something wrong with the situation that the speaker was in.,1
Two children are with a dog on leash who is standing against a tree.,Two people are with a dog on leash who is standing against a tree.,1
so you're on it a lot uh-huh,so you never really use it,0
it it uh definitely fluctuates mainly with what i'm going to be doing that day and kind of what my mood is and when it's raining i'm more likely to wear jeans and and when it's really cold i'm more likely to wear jeans or pants or sweaters or that type of thing,it changes depending on how good of a mood i'm in.,1
you're the first person not from Texas that i've talked to,"Until talking to you, I've only talked to humans and dogs from Texas.",1
"Oh, that's what I remember my father having me christened as.",I had no choice in the matter.,1
oh isn't it though i don't know why i do it,"Yes, it's completely annoying, but I still do it every day, though I don't know why I bother. ",1
"The armored man howled in his helm as the hand enclosed, twisting metal and crushing bone.","The armored man parried the unarmed blow, and responded with a vicious fist of his own.",0
yeah well i don't know how it is up there but down here Louisiana has a bad reputation for their politicians and all i mean i'm sure you heard about some of ours and um people are just i mean it's like they're turned off on voting,People in Louisiana always vote for great politicians.,0
4) Court records indicate that a jewelry-fraud ring used illegal third-party campaign donations to get President Clinton to pose in photos with its principals.,President Clinton knew about the fraud and illegal donations. ,1
"Its gardens, with ponds, mounds, and shady woods, are English in style ' a relaxing change from the formality of the chateau.",The gardens are stiffly formal and are Japanese in style.,0
well  yeah that's everybody everybody might learn something that way but uh but yeah that's there isn't there's an awful lot of things set up you know just any anything you want to do like like you say it can be uh a water ski trip or uh fishing trip or just a sightseeing bird watching you know hunt hunt with a camera type of thing or there's a lot of different opportunities for things like that it's a lot of fun it really is hello,There's only one way to camp!,0
1999: Turnout for Apocalypse Lighter Than Expected,Many more people showed up for the Apocalypse than expected.,0
A white cat sits on a wall.,The cat is white.,1
The horns on his head continue a traditional medieval mistranslation of the Hebrew for halo-like rays of light.,The horns on his head are a literal and correct translation of the Hebrew for crown of light.,0
Who are you talking to?,Why aren't you talking?,0
Savonarola burned in Florence,Florence became Savonarola's new home.,0
so you know and yet they yet people get very frightened when they see the Japanese moving in and the Russians moving in certain areas of technology you know that we use to dominate and it's like well you know they're educating their people to higher degrees than we do so you're going to have to expect it so what you are you willing are you willing to compromise a little and and pay pay some take some of that money out of your pocket and pay for good quality education so i don't know  but  i i,The solution is for us to educate our people more.,1
"IPM projects power sector emissions under Title IV of the 1990 Clean Air Act Amendments (The Acid Rain Program), which caps SO2 emissions at 8.95 million tons/year beginning in 2010.",IPM projects emissions for each decade.,0
and uh i was pretty impressed he had a he before he started out on his experiments he had a battery of tests done on his body to determine the age of each one of his organs,He has been having tests performed on himself for over a decade. ,1
He was signed by the Houston Texans as an undrafted free agent in April 2002 but released in August 2002.,He was signed by the Houston Texans as an undrafted free agent in April 2003 but released in August 2002.,0
"He is currently working at startup studio Expa which was founded by co - founder of StumbleUpon - Garret Camp, as a partner.","He is currently working at startup studio Expa which was founded by co-founder of Uber and StumbleUpon - Garret Camp , as a partner.",1
A red jeep hangs from the edge of a rocky cliff as a girl looks on.,The girl is inside her room.,0
"Although the aggregate wealth-income ratio rose in recent years, wealth is fairly concentrated and not all households have experienced gains in the stock market.",The aggregate wealth-income ratio has fallen dramatically in recent years.,0
The Vikings-Falcons winner will be the first team to get to the Super Bowl after playing its home games in an indoor dome.,Both teams play their home games in outdoor stadiums.,0
Gary Oldman turns himself into some sort of gigantic hominid-bat creature and flaps about in Dracula . The Vampire Master in John Carpenter's Vampires can fly down the road fast enough to catch a speeding car and can stick to the ceiling of a motel room.,Oldman was just a man in the production.,0
"These latter vast regions of forests, rivers, and mountains border the Indonesian state of Kalimantan and the oil-rich sultanate of Brunei.",The sultanate of Brunei borders the Indonesian state of Kalimantan.,1
see i think that's what's my biggest problem with going to a place uh a a health club because i don't feel like having a bunch of other people watch me exercise you know so i have tried to just do stuff at home and uh i just feel conscious about it i mean i'm not big you know or anything but i still don't like other people watching me you know,That is my favorite reason for visiting health clubs because I love showing off in front of other people.,0
 He managed to dig a small hollow in the sand before dropping off to sleep.,"Could could not sleep at all, despite the hole in the sand.",0
"Sometimes flour, corn starch, is added as in pastry cream or "" crème pâtissière "".","Sometimes flour, corn starch, or gelatin is added as in pastry cream or ""crème pâtissière"".",1
1 Young organisms are often more sensitive to toxicants than are adults.,Young organisms are often more sensitive to getting beaten by their parents.,1
"Legal aid lawyers in Kentucky have put together an action team and held frequent statewide conference calls in response to concerns from aid recipients and advocates that the Anthem payouts could cost people their benefits, at least temporarily.",Kentucky lawyers have tried to address Anthem's payouts in hopes of keeping people on welfare.,1
"The sticker on the cover of the self-titled release says ""a thousand times better than Hella or The Advantage"".","The sticker on the cover of the self-titled release says ""a thousand times better than Heidegger or The Advantage"".",1
i don't listen too much right yeah i've heard of her uh-huh uh-huh,I only listen to radio once a month or so.,1
the the Iranian borders are still open uh from what i understand understand um,The borders of Iran are closed.,0
Two girls are walking down the street looking at items in the store windows.,Two friends are walking together to there house and decided to skip,0
well i understand that this is the last season for it,This is going to be the last season of Survivor. ,1
um-hum yeah right uh is yours a is it a a slab foundation or pier and beam,Your foundation is being beamed away.,0
"But for most viewers, the varnish remains.",There is no lasting varnish for any viewers. ,0
Duck through a low passage between two shops across the street to find the Til Mahadev Narayan Temple.,Duck through a low passage between two shops across the street to find the Til Mahadev Narayan Temple which is in a state of total disrepair. ,1
I hope it will myself.,I pray that it will.,1
in California with the swimming pool and here i am renting a house barely making it,I'm renting a house in California but it costs way too much money.,1
Then he is very sure. ,He is not at all sure.,0
Inside and open-air dining by candlelight.,They only have inside dining.,0
I suppose that's what this place had been used for before.,I guess this place was used in the Underground Railroad.,1
"In the distance, Ca'daan heard the ring of steel on stone and the cheer of a small crowd.",The crowd was cheering because they loved Ca'daan,1
"They were quite, tetanic in character.""",They would get upset whenever anyone would speak to them.,1
it was dropped after the 1924 Summer Olympics.,Cross country running was also on the program in earlier editions but it was dropped after the 1924 Summer Olympics.,1
"The Independent of London devoted an editorial to the report, denied by the White House, that Clinton might be willing to admit that he kissed Monica Lewinsky without engaging with her in an improper relationship.",Clinton denied ever knowing Lewinsky.,1
Ca'daan felt a small surge in his skin.,"Ca'daan felt a surge, and took heart from the thrill of the sensation.",1
they always think they can win you know which is the way it should be and boy he never gave up i'll tell you,They think they will always lose.,0
"If you've fallen in love with Italian coffee, why not buy a compact version of the espresso machine or packaged roasted beans?",Unfortunately there is no way to make espressos on your own.,0
A girl wearing a maroon shirt leaps into the air while in the woods.,A girl is in bed.,0
He first contested the Australian House of Representatives seat of Barton in 1954.,"He first contested the Australian House of Representatives seat of Barton in 1954, but was unsuccessful.",1
"But even if Pollard is guilty of all that Hersh charges him with, Clinton the politician knows that freeing him is a political win, a present to some of his dearest supporters.",Clinton knows that freeing Pollard would be political suicide. ,0
The Americans rushed Major General Andrew Jackson to New Orleans to command the city's defense.,The Americans took their time before sending Major General Andrew Jackson to New Orleans. ,0
you know you go in there with a wrench and you know oh golly it's not a metric it's a standard,Sometimes it's an issues when you grab a wrench that's not metric.,1
A band is playing on stage at a concert and the attendants are dancing to the music.,No one is dancing.,0
"Fridlund-Horne cautioned particularly against trying too hard to disprove the opposition, instead of presenting positive evidence to prove one's own case.",Fridlund-Hume did not think it was possible to try too hard to disprove the opposition.,0
It will be the failure of someone much less  a businessman.,It will be a huge success.,0
This is nonsense.,This does not make sense as the instructions were unclear.,1
"To the south lie long beaches, excellent for year-round camping.",Many people enjoy camping on the beaches any time of the year.,1
"(One of the most photogenic views is from the north, on the road from Certaldo, home and last resting place of Boccaccio. )",From Certaldo you can take pictures of the sea.,1
i i read an article one time talking about even the quote unquote realistic movies don't have very realistic effects of the violence the violence can seem very realistic but the aftermath is usually not there,I read that realistic movies portray the effects of violence realistically.  ,0
"However, funding agencies cannot be forced to accept this.",Funding agencies can be forced to accept anything.,0
These OMB and GAO issuances establish the criteria and rules for assessing and reporting annually on the status of agency systems and controls.,The GAO set forth criteria for the dismemberment and complete take over of agency systems and controls.,0
How it is formulated has understandably been a longstanding interest of the Congress.,Congress was only interested in its application.,0
A young girl is swimming in a pool.,There is a girl in a pool.,1
"A magnificent polychrome retablo, rising in five tiers, depicts New Testament stories in fervent detail.",The New Testament was never depicted.,0
It is likely that future secretaries of state will say that the formative experience of their lives was Kosovo.,Future secretaries of state will not remember Kosovo.,0
Reporters deemed his tone strident and belligerent.,"Reporters attacked his tone, calling him foul names.",1
"Is that a bargain?""",Is that an order?,0
The white dog with brown spots is walking through shallow water.,The white and brown dog is standing on the edge of the water.,0
The Standard Predictor SP raw scores translate into a percentile of risk for abuse and violence for either an adult.,The Standard Predictor (SP) raw scores translate into a percentile of risk for abuse and violence for either an adolescent or an adult.,1
um well you too i guess it's getting getting to be lunch time i need to go take care of the kids but you have a good day,It is time to make the kids their breakfast.,0
"In 1996, in response to LSC's first program letter, the programs requested that the Illinois State Bar Association and the Chicago Bar Association join them in the planning process.",The programs contained thirty pages of dense text.,1
Rebecca Drysdale (born 1978 or 1979 in Ohio) is an American comedian who was a member of the Second City Chicago E.T.C. cast.,Rebecca Drysdale (born 1979 or 1979 in Ohio) is an American comedian who was a member of the Second City Chicago E.T.C. cast.,1
"Since one of the men had bolts sticking out of his neck, I'm going to assume that someone was playing God.",Creating an artificial human is a travesty to nature. ,1
"'I think you should attack now,' I pressed.",No one should be attacking I thought. ,0
The complaints poured in.,There was a trickle of complaints.,0
"In adopting the H-2A provision in IRCA, Congress was aware that H-2A workers were allowed",Congress didn't know about the workers.,0
Calves are adorable.,Calves are not my thing.,0
"He has also been an staff writer at "" The New Yorker "", "" Harper 's Magazine "", and "" The New Republic "".","He has also been an editor or staff writer at ""The New Yorker"", ""Harper's Magazine"", and ""The New Republic"".",1
They recorded two albums and ultimately disbanded.,They recorded two albums and toured the country in support but ultimately disbanded.,1
Isn't a woman's body her most personal property?,"Women's bodies belong to themselves, they should decide what to do with it. ",1
The third palace entry is one of the square's masterpieces the 17th-century Golden Gate.,The Golden Gate is not really made out of gold.,1
"Some of that work includes access to health care benefits and aiding families that may have a housing problem but also have other issues, such as a disabled child.",Housing problems remain a major issue for the public and is an issue that has yet to be addressed by the government.,1
It was the main entry point into Egypt until the advent of air travel in the early 20th century and its contact with a range of international influences made it the most cosmopolitan city in Egypt.,Egypt was entirely cut off from the rest of the world until the 20th century.,0
"'My God, J, why?'",It was confusing to me.,1
Sure--in the city.,"No, in the field.",0
"First, they should provide strategic advice to management in order to help maximize shareholder value.",Management may not be happy about being told what to do.,1
Thank you for the offer of your food.,I was very hungry.,1
yeah i it just totally ridiculous i mean the Israeli's could have fixed the whole problem years ago if they just sent sent their guys in there and killed Saddam,They Israelis didn't do it because they knew they could save money getting the States to do it.,1
okay uh i use them both here at work and at home,They're simply too convenient to not use everywhere I go.,1
i'm not opposed to it but when its when the time is right it will probably just kind of happen you know,I wish I had more time to think about it.,1
